idx,Entity
1,Here are the entities extracted from the given text
2," concatenated with commas:

William Thomas Smith"
3, Francis Girod
4, Etan Boritzer
5, Peter Levin
6, Theodred II
7, Rene the Cane
8, Ian Barry
9, Thomas Scott
10, Albert Thompson
11, Harry Wainwright
12, Mark Kenneth Woods
13, Sylvia Kristel
14, Gérard Depardieu
15, John F. Kennedy
16, Wade Junior High School
17, New York City Department of Education
18, New York City
19, Venice
20, California
21, Elmham
22, France
23, Italy
24, Australia
25, Canada
26, England
27, Wales
28, United States
29, Bronx
30, Berlin
31, Cannes
32, Berlin International Film Festival
33, 44th Berlin International Film Festival
34, 1988 Cannes Film Festival
35, L'enfance de l'art
36, What is God?
37, What is Love?
38, What is Death?
39, What is Beautiful?
40, What is Funny?
41, What is Right?
42, What is Peace?
43, What is Money?
44, What is Dreaming?
45, What is a Friend?
46, What is True?
47, What is a Family?
48, What is a Feeling?
49, The Teachings of the Buddha
50, How to Get Your Book Published!
51, Theodred's consecration
52, Theodred's death
53, Rene the Cane
54, 1977
55, 995
56, 997
57, 1907
58, 1912
59, 1899
60, 9 April 1897
61, 9 October 1944
62, 19 November 2006
63, 1963
64, 1989
65, 1950
66, 13
67, 534
68,714
69, 15 languages
70,"Here's the list of extracted entities concatenated with commas:

John F. Kennedy"
71, New York City
72, New York
73, Bronx
74, New York City Department of Education
75, Wade Junior High School
76, Venice
77, California
78, Boritzer
79, How to Get Your Book Published
80, Pamela Jain
81, Indian
82, Buddha
83, Moffat Sinkala
84, Zambian
85, Olympics
86, Terence D. Robinson
87, England
88, Evangelista Andreoli
89, Italian
90, Cavezzo
91, Modena
92, Mirandola
93, Milan Conservatory
94, Guglielmo the Elder
95, Carlo Andreoli
96, Alfredo Catalani
97, Brian Saunders
98, Les Richards
99, North Melbourne
100, Victorian Football League
101, Chris Meyer
102, Christopher Scott Meyer
103, American
104, Christopher Robinson
105, Chris Robinson
106, West Palm Beach
107, Florida
108, Christopher de Almeida Pilar
109, Camacha
110, David Christopher Richards
111, Canadian
112, Rian McLean
113, Australian
114, Katherine Bucknell
115, Saigon
116, W. H. Auden
117, Christopher Isherwood
118, Anglo- American
119, Tom Ford
120, Cabaret
121, A Single Man
122, Christopher and His Kind
123, Gay Liberation movement
124, June
125, January
126, June 4
127, November 5
128, 1938
129, West Palm Beach
130, Florida
131, November 29
132, 1961
133, March 29
134, 1985
135, April 24
136, 1984
137, 1957
138, Saigon
139, 26 August 1904
140, 4 January 1986
141, 26 August
142, 1904
143, 4 January
144, 1986
145, 1939
146, 1976
147, 2009
148, 1964
149, 1910
150, 1908
151, 1891
152, 1810
153, 1875
154, 1835
155, 1860
156, 1840
157, 1908
158, 1862
159, 1932
160, 1845
161, 1867
162, 1871
163, 1877
164, 1887
165, 1891
166, 1908
167, 1910
168, 29 June
169, 16 June
170, 8 January
171, 22 January
172, 4 June
173, 5 November
174, 29 November
175, 1961
176, 24 April
177, 1984
178, 1957
179, 29 March
180, 1985
181,"Here are the extracted entities concatenated with commas:

Christopher Isherwood"
182, Katherine Bucknell
183, W. H. Auden
184, Don Bachardy
185, Canarino
186, Leninsky Prospekt
187, What You Will
188, + 1
189, Christopher Jason Hanke
190, Rudi Schuricke
191, Erhard Rudolf Hans Schuricke
192, Brandenburg an der Havel
193, Germany
194, Capri- Fischer
195, Moulin Rouge
196, Das Märchen unserer Liebe
197, Billboard Magazine
198, Christopher Jones
199, Greg A. Hill
200, Six Nations of the Grand River Territory
201, Ontario
202, Fu Baolu
203, Wesley Barresi
204, Netherlands
205, Henry Walter Moore
206, New Zealand
207, Jan Edelinck
208, Paris
209, Hartley W Lobban
210, Worcestershire
211, Silvi Jan
212, Jean
213, Israel
214, Jean Paul Yontcha
215, Cameroon
216, Wale Adebanwi
217, St Antony's College
218, Oxford
219, John William Joseph McMahon
220, England
221, Brian Saunders
222, Etan Boritzer
223, Australia
224, Surrey
225, Somerset
226," England.

However"
227, after removing duplicates
228," the list becomes:

Christopher Isherwood"
229, Katherine Bucknell
230, W. H. Auden
231, Don Bachardy
232, Canarino
233, Leninsky Prospekt
234, What You Will
235, + 1
236, Christopher Jason Hanke
237, Rudi Schuricke
238, Erhard Rudolf Hans Schuricke
239, Brandenburg an der Havel
240, Germany
241, Capri- Fischer
242, Moulin Rouge
243, Das Märchen unserer Liebe
244, Billboard Magazine
245, Christopher Jones
246, Greg A. Hill
247, Six Nations of the Grand River Territory
248, Ontario
249, Fu Baolu
250, Wesley Barresi
251, Netherlands
252, Henry Walter Moore
253, New Zealand
254, Jan Edelinck
255, Paris
256, Hartley W Lobban
257, Worcestershire
258, Silvi Jan
259, Jean
260, Israel
261, Jean Paul Yontcha
262, Cameroon
263, Wale Adebanwi
264, St Antony's College
265, Oxford
266, John William Joseph McMahon
267, England
268, Brian Saunders
269, Etan Boritzer
270, Australia
271, Surrey
272, Somerset.
273,"Here are the extracted entities in the required format:

Wade Junior High School"
274, New York City
275, New York
276, John F. Kennedy
277, New York City Department of Education
278, Boritzer
279, Venice
280, California
281, How to Get Your Book Published!
282, yoga
283, Robert Lepage
284, Far Side of the Moon
285, Canada
286, 2003
287, USSR
288, United States
289, Space Race
290, 1960s
291, Anne-Marie Cadieux
292, Philippe
293, André
294, Genie Award
295, 24th Genie Awards
296, 2004
297, Bob Krupinski
298, Mario St-Laurent
299, Academy Award
300, 77th Academy Awards
301, Gary Larson
302, The Far Side
303, Robert Lepage
304, Theodred II
305, Elmham
306, Theodred
307, December 12
308, 1957
309, Canada
310, playwright
311, actor
312, film director
313, stage director
314, The Far Side of the World
315, Theodred's consecration
316, Theodred's death
317, place of birth
318, passports
319, sovereignty
320, hospital
321, government
322, Sweden
323, födelsehemort
324, domicile
325, Switzerland
326, Heimatort
327, lieu d'origine
328, place of origin
329, maternity ward
330, Swiss parents
331, parents
332, child
333, last name
334, French
335, Italian
336, Germany
337,"Here are the entities extracted from the text:

Switzerland"
338, Americas
339, US
340, Earth
341, Moon
342, Solar System
343, South Pole – Aitken basin
344, Soviet Luna 3 space probe
345, Soviet Academy of Sciences
346, Apollo 8
347, Chang'e 4 spacecraft
348, radio telescope
349, radio interference
350, Earthshine
351, Sun
352, Earth
353, libration
354, equatorial plane
355, US Constitution
356, Latin
357, Americas
358, plane
359, ship
360, airspace
361, territorial waters
362, country
363, nationality
364, place of origin
365, jus soli
366, jus sanguinis
367, parents
368, baby
369, passport
370, identity card
371, administration
372, form
373, country of birth
374, Moon's surface
375, hemisphere
376, crater
377, maria
378, basin
379, telescope
380, spacecraft
381, astronaut
382, space
383, probe
384, atlas
385, spacecraft
386, landing
387, radio
388, interference
389, Earthshine
390, Sun
391, libration
392, equatorial plane
393, US
394, Constitution
395, Latin
396, Americas
397, plane
398, ship
399, airspace
400, territorial waters
401, country
402, nationality
403, place of origin
404, jus soli
405, jus sanguinis
406, parents
407, baby
408, passport
409, identity card
410, administration
411, form
412, country of birth
413, Moon's surface
414, hemisphere
415, crater
416, maria
417, basin
418, telescope
419, spacecraft
420, astronaut
421, space
422, probe
423, atlas
424, spacecraft
425, landing
426, radio
427, interference
428, Sun
429, libration
430, equatorial plane
431, US
432, Constitution
433, Latin
434, Americas
435, plane
436, ship
437, airspace
438, territorial waters
439, country
440, nationality
441, place of origin
442, jus soli
443, jus sanguinis
444, parents
445, baby
446, passport
447, identity card
448, administration
449, form
450, country of birth
451, Moon's surface
452, hemisphere
453, crater
454, maria
455, basin
456, telescope
457, spacecraft
458, astronaut
459, space
460, probe
461, atlas
462, spacecraft
463, landing
464, radio
465, interference
466, Sun
467, libration
468," equatorial plane

Here is the output in the requested format:

Switzerland"
469, Americas
470, US
471, Earth
472, Moon
473, Solar System
474, South Pole – Aitken basin
475, Soviet Luna 3 space probe
476, Soviet Academy of Sciences
477, Apollo 8
478, Chang'e 4 spacecraft
479, radio telescope
480, radio interference
481, Earthshine
482, Sun
483, libration
484, equatorial plane
485, US Constitution
486, Latin
487, plane
488, ship
489, airspace
490, territorial waters
491, country
492, nationality
493, place of origin
494, jus soli
495, jus sanguinis
496, parents
497, baby
498, passport
499, identity card
500, administration
501, form
502, country of birth
503, Moon's surface
504, hemisphere
505, crater
506, maria
507, basin
508, telescope
509, spacecraft
510, astronaut
511, space
512, probe
513, atlas
514, landing
515,"Here are the extracted entities in the desired format:

The Devil's Backbone"
516, Guillermo del Toro
517, David Muñoz
518, Antonio Trashorras
519, Pedro Almodóvar
520, Spain
521, Mexico
522, Madrid
523, Brian Johnson
524, Backyard Dogs
525, Robert Boris
526, Pan's Labyrinth
527, The Shape of Water
528, Oscars
529, Cronos
530, Mimic
531, Blade II
532, Hellboy
533, Pacific Rim
534, Crimson Peak
535, The Orphanage
536, Don't Be Afraid of the Dark
537, The Hobbit
538, Mama
539, The Book of Life
540, Scary Stories to Tell in the Dark
541, The Strain
542, Chuck Hogan
543, Tales of Arcadia
544, Daniel Kraus
545, Puss in Boots
546, Rise of the Guardians
547, Kung Fu Panda 3
548, Ron Perlman
549, Doug Jones
550, Alfonso Cuarón
551, Alejandro G. Iñárritu
552, The Three Amigos of Cinema
553, Jason Moore
554, Elliott Kastner
555, Hanro Smitsman
556, Ben Cura
557, Ian Barry
558, Peter Levin
559, Petrus de Domarto
560, Ockeghem
561, Karl Wilhelm
562, Alexandru Cristea
563, Limba Noastră
564, Die Wacht am Rhein
565,"Here's the list of extracted entities in the required format:

Pydimarri Venkata Subba Rao"
566, Franz Schubert
567, Johann Wolfgang von Goethe
568, Walter Robinson
569, Holly Near
570, John McCutcheon
571," Alexander Mair ""Sandy"" Courage Jr."
572, Alonso Mudarra
573, Harriet Tubman
574, Star Trek
575, Telugu
576, India
577, Prometheus
578, Renaissance
579, Johann Wolfgang von Goethe
580, Franz Peter Schubert
581, Austria
582, Classical
583, Romantic
584, Piano Quintet in A major
585, D. 667
586, Symphony No. 8 in B minor
587, D. 759
588, Symphony No. 9 in C major
589, D. 944
590, Fierrabras
591, Rosamunde
592, Die schöne Müllerin
593, Winterreise
594, Vienna
595, Himmelpfortgrund
596, Haydn
597, Mozart
598, Beethoven
599, Antonio Salieri
600, Gesellschaft der Musikfreunde
601, Felix Mendelssohn
602, Robert Schumann
603, Franz Liszt
604, Johannes Brahms
605, Michelangelo Faggioli
606, Neapolitan
607, La Cilla
608, Bert Grund
609, Abe Meyer
610, Tarcisio Fusco
611, Pydimarri Venkata Subba Rao
612, Limba Noastră
613, Moldova
614, June
615, October
616, November
617, December
618, April
619, May
620, January
621,"Here's the list of entities extracted from the text in the required format:

Giovanni Fusco"
622, Cecilia Fusco
623, Tarcisio Fusco
624, Paravoor Govindan Devarajan
625, G. Devarajan
626, Devarajan master
627, Kerala Government
628, M. Krishnan Nair
629, A. V. Subbarao
630, Prem Nazir
631, Sheela
632, Sukumari
633, Adoor Bhasi
634, Kalithozhan
635, Alonso Mudarra
636, vihuela
637, Walter Ulfig
638, Thomas Morse
639, Henri Verdun
640, Amedeo Escobar
641, Gerardo de Leon
642, Eddie Romero
643, Kane W. Lynn
644, Blood Island
645, Illarikam
646, Walter Ulfig
647, Alonso Mudarra
648, Renaissance
649, Walter Ulfig
650, Thomas Morse
651, Henri Verdun
652, Amedeo Escobar
653, Gerardo de Leon
654, Eddie Romero
655, Kane W. Lynn
656, Blood Island
657, Illarikam
658, Roger Corman
659, Michael Forest
660, Frank Wolff
661, Richard Sinatra
662, Wally Campo
663, Filmgroup
664, Battle of Blood Island
665, Venus Flytrap
666, Japan
667, Ed Wood
668, Norman Earl Thomson
669, Kenneth Crane
670, The Manster
671, Edgar Sinco Romero
672, Cinema Insomnia
673, The Mad Doctor of Blood Island
674, Eddie Garcia
675, Ronald Remy
676, John Ashley
677,"Here are the extracted entities concatenated with commas:

John Ashley"
678, Eddie Garcia
679, Ronald Remy
680, Romero
681, Kane W. Lynn
682, Beverly Miller
683, Dr. Lorca
684, Theodred II
685, André Morell
686, Carl Möhner
687, Edward Underdown
688, Walter Fitzgerald
689, Val Guest
690, Hammer Film Productions
691, André Morell
692, Carl Möhner
693, Edward Underdown
694, Walter Fitzgerald
695, Lord Russell of Liverpool
696, Theodred
697, Elmham
698, The Camp on Blood Island
699, The Mad Doctor of Crimson Island
700, The Mad Doctor of Blood Island
701, Beast of Blood
702, Blood Devils
703, Terror Is a Man
704, Brides of Blood
705, The Secret of Blood Island
706, John Ashley
707, Kent Taylor
708, Beverly Hills
709, Eva Darren
710, Mario Montenegro
711, Gerardo de Leon
712, Theodred
713, Philippines
714, Hammer Film Productions
715, Val Guest
716, Eddie Romero
717, Kane W. Lynn
718, The Blood Island series
719, Island of Living Horror
720, Lionel Atwill
721, Universal Pictures
722, Joseph H. Lewis
723, Harry Wainwright
724, Peter Levin
725, Etan Boritzer
726, What is God?
727, England
728, American
729, Filipino
730, British
731, Liverpool
732, Japanese
733, Japanese-occupied British Malaya
734, Malaya
735, United Kingdom
736, United States
737, Hemisphere Pictures
738, Malaysia
739,"Here are the entities extracted from the given text and concatenated with commas:

What is God?"
740, What is Love?
741, What is Death?
742, What is Beautiful?
743, What is Funny?
744, What is Right?
745, What is Peace?
746, What is Money?
747, What is Dreaming?
748, What is a Friend?
749, What is True?
750, What is a Family?
751, What is a Feeling?
752, Ian Barry
753, Albert S. Rogell
754, Marion Jackson
755, Ken Maynard
756, Kathleen Collins
757, Francis Ford
758, Will Walling
759, Earl Metcalfe
760, Paul Hurst
761, First National Pictures
762, Theodred II
763, Elmham
764, William Thomas Smith
765, Bobby Connolly
766, Ed Earl Repp
