Entity1,Relation,Entity2
city councilmen,Responsible_for,permits
city councilmen,Responsible_for,regulations
demonstrators,Request,permit
city councilmen,Issue,permit
demonstrators,Protest,issue
Joan,Thank,Susan
Joan,Receive,help
Paul,Try,call George
Paul,Experience,outcome
Paul,Attempt,action
George,Be,unavailable
lawyer,Ask,question
lawyer,Take_action,question
witness,Answer,question
witness,Reluctant,answer
lawyer,Initiate_action,question
witness,Respond,question
trophy,Be_placed_in,suitcase
suitcase,Contain,trophy
Joan,Express_gratitude,Susan
Susan,Provide,help
city councilmen,Have_authority,permitting process
city councilmen,Grant_or_refuse,permit
demonstrators,Be_refused,permit
city councilmen,Take_action,refuse permit
courtroom,Setting,action
question,Be_answered,witness
outcome,Be_experienced,Paul
action,Be_taken,Paul
George,Be_unavailable,Paul
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Susan,Be_thanked,Joan
Joan,Perform_action,thank
Paul,Perform_action,try to call
George,Be_the_object,Paul's action
witness,Be_the_object,lawyer's question
trophy,Be_compared,suitcase
suitcase,Be_evaluated,trophy's size
Joan,Perform_action,thank Susan
Susan,Be_the_object,Joan's action
Paul,Perform_action,try to call George
George,Be_the_object,Paul's action
lawyer,Perform_action,ask question
witness,Be_the_object,lawyer's question
lawyer,Take_action,ask question
witness,Respond,question
courtroom,Be_the_setting,action
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
trophy,Be_placed_in,suitcase
suitcase,Contain,trophy
Joan,Express_gratitude,Susan
Susan,Provide,help
city councilmen,Have_authority,permitting process
city councilmen,Grant_or_refuse,permit
demonstrators,Be_refused,permit
city councilmen,Take_action,refuse permit
courtroom,Be_the_setting,action
question,Be_answered,witness
outcome,Be_experienced,Paul
action,Be_taken,Paul
George,Be_unavailable,Paul
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Susan,Be_thanked,Joan
Joan,Perform_action,thank
Paul,Perform_action,try to call
George,Be_the_object,Paul's action
witness,Be_the_object,lawyer's question
lawyer,Perform_action,ask question
witness,Respond,question
courtroom,Be_the_setting,action
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Joan,Express_gratitude,Susan
Susan,Provide,help
city councilmen,Have_authority,permitting process
city councilmen,Grant_or_refuse,permit
demonstrators,Be_refused,permit
city councilmen,Take_action,refuse permit
courtroom,Be_the_setting,action
question,Be_answered,witness
outcome,Be_experienced,Paul
action,Be_taken,Paul
George,Be_unavailable,Paul
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Susan,Be_thanked,Joan
Joan,Perform_action,thank
Paul,Perform_action,try to call
George,Be_the_object,Paul's action
witness,Be_the_object,lawyer's question
lawyer,Perform_action,ask question
witness,Respond,question
courtroom,Be_the_setting,action
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Joan,Express_gratitude,Susan
Susan,Provide,help
city councilmen,Have_authority,permitting process
city councilmen,Grant_or_refuse,permit
demonstrators,Be_refused,permit
city councilmen,Take_action,refuse permit
courtroom,Be_the_setting,action
question,Be_answered,witness
outcome,Be_experienced,Paul
action,Be_taken,Paul
George,Be_unavailable,Paul
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Susan,Be_thanked,Joan
Joan,Perform_action,thank
Paul,Perform_action,try to call
George,Be_the_object,Paul's action
witness,Be_the_object,lawyer's question
lawyer,Perform_action,ask question
witness,Respond,question
courtroom,Be_the_setting,action
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Joan,Express_gratitude,Susan
Susan,Provide,help
city councilmen,Have_authority,permitting process
city councilmen,Grant_or_refuse,permit
demonstrators,Be_refused,permit
city councilmen,Take_action,refuse permit
courtroom,Be_the_setting,action
question,Be_answered,witness
outcome,Be_experienced,Paul
action,Be_taken,Paul
George,Be_unavailable,Paul
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Susan,Be_thanked,Joan
Joan,Perform_action,thank
Paul,Perform_action,try to call
George,Be_the_object,Paul's action
witness,Be_the_object,lawyer's question
lawyer,Perform_action,ask question
witness,Respond,question
courtroom,Be_the_setting,action
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Joan,Express_gratitude,Susan
Susan,Provide,help
city councilmen,Have_authority,permitting process
city councilmen,Grant_or_refuse,permit
demonstrators,Be_refused,permit
city councilmen,Take_action,refuse permit
courtroom,Be_the_setting,action
question,Be_answered,witness
outcome,Be_experienced,Paul
action,Be_taken,Paul
George,Be_unavailable,Paul
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Susan,Be_thanked,Joan
Joan,Perform_action,thank
Paul,Perform_action,try to call
George,Be_the_object,Paul's action
witness,Be_the_object,lawyer's question
lawyer,Perform_action,ask question
witness,Respond,question
courtroom,Be_the_setting,action
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Joan,Express_gratitude,Susan
Susan,Provide,help
city councilmen,Have_authority,permitting process
city councilmen,Grant_or_refuse,permit
demonstrators,Be_refused,permit
city councilmen,Take_action,refuse permit
courtroom,Be_the_setting,action
question,Be_answered,witness
outcome,Be_experienced,Paul
action,Be_taken,Paul
George,Be_unavailable,Paul
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Susan,Be_thanked,Joan
Joan,Perform_action,thank
Paul,Perform_action,try to call
George,Be_the_object,Paul's action
witness,Be_the_object,lawyer's question
lawyer,Perform_action,ask question
witness,Respond,question
courtroom,Be_the_setting,action
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Joan,Express_gratitude,Susan
Susan,Provide,help
city councilmen,Have_authority,permitting process
city councilmen,Grant_or_refuse,permit
demonstrators,Be_refused,permit
city councilmen,Take_action,refuse permit
courtroom,Be_the_setting,action
question,Be_answered,witness
outcome,Be_experienced,Paul
action,Be_taken,Paul
George,Be_unavailable,Paul
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Susan,Be_thanked,Joan
Joan,Perform_action,thank
Paul,Perform_action,try to call
George,Be_the_object,Paul's action
witness,Be_the_object,lawyer's question
lawyer,Perform_action,ask question
witness,Respond,question
courtroom,Be_the_setting,action
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Joan,Express_gratitude,Susan
Susan,Provide,help
city councilmen,Have_authority,permitting process
city councilmen,Grant_or_refuse,permit
demonstrators,Be_refused,permit
city councilmen,Take_action,refuse permit
courtroom,Be_the_setting,action
question,Be_answered,witness
outcome,Be_experienced,Paul
action,Be_taken,Paul
George,Be_unavailable,Paul
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Susan,Be_thanked,Joan
Joan,Perform_action,thank
Paul,Perform_action,try to call
George,Be_the_object,Paul's action
witness,Be_the_object,lawyer's question
lawyer,Perform_action,ask question
witness,Respond,question
courtroom,Be_the_setting,action
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Joan,Express_gratitude,Susan
Susan,Provide,help
city councilmen,Have_authority,permitting process
city councilmen,Grant_or_refuse,permit
demonstrators,Be_refused,permit
city councilmen,Take_action,refuse permit
courtroom,Be_the_setting,action
question,Be_answered,witness
outcome,Be_experienced,Paul
action,Be_taken,Paul
George,Be_unavailable,Paul
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Susan,Be_thanked,Joan
Joan,Perform_action,thank
Paul,Perform_action,try to call
George,Be_the_object,Paul's action
witness,Be_the_object,lawyer's question
lawyer,Perform_action,ask question
witness,Respond,question
courtroom,Be_the_setting,action
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Joan,Express_gratitude,Susan
Susan,Provide,help
city councilmen,Have_authority,permitting process
city councilmen,Grant_or_refuse,permit
demonstrators,Be_refused,permit
city councilmen,Take_action,refuse permit
courtroom,Be_the_setting,action
question,Be_answered,witness
outcome,Be_experienced,Paul
action,Be_taken,Paul
George,Be_unavailable,Paul
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Susan,Be_thanked,Joan
Joan,Perform_action,thank
Paul,Perform_action,try to call
George,Be_the_object,Paul's action
witness,Be_the_object,lawyer's question
lawyer,Perform_action,ask question
witness,Respond,question
courtroom,Be_the_setting,action
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Joan,Express_gratitude,Susan
Susan,Provide,help
city councilmen,Have_authority,permitting process
city councilmen,Grant_or_refuse,permit
demonstrators,Be_refused,permit
city councilmen,Take_action,refuse permit
courtroom,Be_the_setting,action
question,Be_answered,witness
outcome,Be_experienced,Paul
action,Be_taken,Paul
George,Be_unavailable,Paul
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Susan,Be_thanked,Joan
Joan,Perform_action,thank
Paul,Perform_action,try to call
George,Be_the_object,Paul's action
witness,Be_the_object,lawyer's question
lawyer,Perform_action,ask question
witness,Respond,question
courtroom,Be_the_setting,action
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Joan,Express_gratitude,Susan
Susan,Provide,help
city councilmen,Have_authority,permitting process
city councilmen,Grant_or_refuse,permit
demonstrators,Be_refused,permit
city councilmen,Take_action,refuse permit
courtroom,Be_the_setting,action
question,Be_answered,witness
outcome,Be_experienced,Paul
action,Be_taken,Paul
George,Be_unavailable,Paul
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Susan,Be_thanked,Joan
Joan,Perform_action,thank
Paul,Perform_action,try to call
George,Be_the_object,Paul's action
witness,Be_the_object,lawyer's question
lawyer,Perform_action,ask question
witness,Respond,question
courtroom,Be_the_setting,action
lawyer,Be_involved,courtroom
witness,Be_involved,courtroom
Joan,Express_gratitude,Susan
Susan,Provide,help
city councilmen,Have_authority,permitting process
city councilmen,Grant_or_refuse,permit
demonstrators,Be_refused,permit
city councilmen,Take_action,refuse permit
courtroom,Be_the_setting,action
Frank,is a,Bill
"longtime rival)
2. (Frank",is a,Bill
"longtime rival)
3. (Bill",is the winner of the competition,Frank
Frank,feels vindicated by,Bill
The man,is trying to lift,his son
The man,is weak,The man
The man,is trying to lift,his son
The man,is weak,The man
The large ball,crashed through,The table
The large ball,is made of,steel
a ball,is typically made of,rubber/plastic/leather
The table,is made of,wood/glass
The delivery truck,overtook,the school bus
The delivery truck,is faster than,the school bus
The school bus,is moving at a slower pace,the delivery truck
John,unable to see,The stage
Billy,in front of,John
Billy,taller or positioned in a way that blocks,John's view
John,so short,is
Tom,threw,his schoolbag
Tom,reached the top of the stairs,before throwing his schoolbag
Tom,threw his schoolbag down to,Ray
Tom,reached the bottom of the stairs,before throwing his schoolbag
Sue,beat,Sally
Sue,had a good start,which led to her victory
Sue,ran at the same speed as,Sally
Sue,"did not have a bad start)
- (Sally","had a bad start, which hindered her chances of winning"
The sculpture,rolled off,The shelf
The shelf,was not level,causing The sculpture to roll off
Sam,drew,a drawing
Tina,drew,a drawing
Sam's drawing,was hung above,Tina's drawing
Sam,created,Sam's drawing
Tina,created,Tina's drawing
Tina,similar_to,Sam's drawing
Anna,performed better than,Lucy
Anna,friend,Lucy
Anna,did worse than usual,Lucy
Police,arrived before,Firemen
Police,responded to emergency,Emergency
Firemen,responded to emergency,Emergency
Frank,sold,Toaster
Frank,sold to,Tom
Frank,complaint,Toaster
Frank,sold,Toaster to Tom
Tom,received,Toaster from Frank
Jim,yelled at,Kevin
Jim,comforted,Kevin
Kevin,is being comforted by,Jim
