Entity1,Relation,Entity2
HTS),Part of,"US Army's strategy in Afghanistan
6. Christian Science Monitor, Reports on, Human Terrain System (HTS"
"HTS)
9. Commission on the Engagement of Anthropology with the US Security and Intelligence Communities",Part of,"American Anthropological Association
10. CEAUSSIC, Released report on, Human Terrain System (HTS"
"PoE)
24. Power over Ethernet (PoE)",Operates at,"48 V DC
25. Power over Ethernet (PoE"
PoE),Supplies power to,"Security cameras
27. Power over Ethernet (PoE"
HTS),Worked with,"US military in Iraq
49. American Anthropological Association, Criticized, Human Terrain System (HTS"
"HTS)
51. He Jin",Assassinated by,"Eunuchs
52. He Jin, Half-brother of, Empress He
53. Yuan Shao, Besieged, Luoyang's Northern Palace
54. Yuan Shu, Besieged, Southern Palace
55. Emperor Shao, Fled with, Zhang Rang
56. Liu Xie, Fled with, Zhang Rang
57. Emperor Xian of Han, Fled with, Zhang Rang
58. Zhang Rang, Jumped into, Yellow River
59. Tyrannomon, Based on, Dinosaurs
60. Kenji Watanabe, Designed, Tyrannomon
61. Digimon, Based on, Dinosaurs
62. American comics, Influenced, Kenji Watanabe
63. Japan, Influenced by, American comics
64. CEAUSSIC, Emphasized, Incompatibility of HTS with anthropology
65. American Anthropological Association, Recognized, Problem of HTS defining anthropology
66. DoD, Defined, Meaning of ""anthropology""
67. IEEE, Released standard, 802.3af
68. 802.3af, Operates at, 48 V DC
69. Power over Ethernet (PoE"
PoE),Supplies power to,"Devices
97. USB, Provides power to, Devices
98. French Equatorial Africa, Established in, 1920
99. Ubangi-Shari, Administered from, Brazzaville
100. French, Introduced policy of, Mandatory cotton cultivation
101. French, Built, Network of roads
102. French, Introduced policy to, Combat sleeping sickness
103. French, Established, Protestant missions
104. Ubangians, Sent to work on, Congo-Ocean Railway
105. Digimon, Conceived as, Virtual pet toy
106. Tamagotchis, Influenced, Digimon
107. Kenji Watanabe, Designed, X-Antibody creatures
108. Kenji Watanabe, Influenced by, American comics
109. American comics, Popular in, Japan
110. Japan, Influenced by, American comics
111. CEAUSSIC, Emphasized, Incompatibility of HTS with anthropology
112. American Anthropological Association, Recognized, Problem of HTS defining anthropology
113. DoD, Defined, Meaning of ""anthropology""
114. General-in-Chief He Jin, Half-brother of, Empress He
115. Empress He, Half-brother of, General-in-Chief He Jin
116. Yuan Shao, Plotted with, General-in-Chief He Jin
117. Empress He, Brother-in-law of, Yuan Shao
118. Yuan Shao, Brother of, Yuan Shu
119. Zhang Rang, Fled with, Emperor Shao
120. Emperor Shao, Brother of, Liu Xie
121. Liu Xie, Brother of, Emperor Xian of Han
122. Emperor Xian of Han, Brother of, Liu Xie
123. Zhang Rang, Committed suicide in, Yellow River
124. IEEE, Released standard, 802.3af
125. 802.3af, Operates at, 48 V DC
126. Power over Ethernet (PoE"
PoE),Supplies power to,"Devices
157. USB, Provides power to, Devices
158. French Equatorial Africa, Established in, 1920
159. Ubangi-Shari, Administered from, Brazzaville
160. French, Introduced policy of, Mandatory cotton cultivation
161. French, Built, Network of roads
162. French, Introduced policy to, Combat sleeping sickness
163. French, Established, Protestant missions
164. Ubangians, Sent to work on, Congo-Ocean Railway
165. Digimon, Conceived as, Virtual pet toy
166. Tamagotchis, Influenced, Digimon
167. Kenji Watanabe, Designed, X-Antibody creatures
168. Kenji Watanabe, Influenced by, American comics
169. American comics, Popular in, Japan
170. Japan, Influenced by, American comics
171. CEAUSSIC, Emphasized, Incompatibility of HTS with anthropology
172. American Anthropological Association, Recognized, Problem of HTS defining anthropology
173. DoD, Defined, Meaning of ""anthropology""
174. General-in-Chief He Jin, Half-brother of, Empress He
175. Empress He, Half-brother of, General-in-Chief He Jin
176. Yuan Shao, Plotted with, General-in-Chief He Jin
177. Empress He, Brother-in-law of, Yuan Shao
178. Yuan Shao, Brother of, Yuan Shu
179. Zhang Rang, Fled with, Emperor Shao
180. Emperor Shao, Brother of, Liu Xie
181. Liu Xie, Brother of, Emperor Xian of Han
182. Emperor Xian of Han, Brother of, Liu Xie
183. Zhang Rang, Committed suicide in, Yellow River
184. IEEE, Released standard, 802.3af
185. 802.3af, Operates at, 48 V DC
186. Power over Ethernet (PoE"
"Put a Ring on It)""
13. Toronto Star",credited,"starting the ""first major dance craze of both the new millennium and the Internet"", ""Single Ladies (Put a Ring on It"
Tuvaluan Order 1975,created,British dependency
Tuvaluan Order 1975,recognized,Tuvalu
Tuvaluan Order 1975,took effect on,1 October 1975
Gilbert and Ellice Islands Colony,divided,separate administrations
Mohammed Abdullah Hassan,led,Somali soldiers
Mohammed Abdullah Hassan,gathered,Somali soldiers
Mohammed Abdullah Hassan,began,anti-colonial wars
Dervish State,repulsed,British empire
Dervish State,received support from,Ottoman empire
Dervish State,received support from,German empires
Hassan,named,Emir of the Somali nation
Britain,used airplanes to bomb,Taleex
Britain,turned former Dervish territories into,protectorate
Italy,faced opposition from,Somali Sultans
Italy,faced opposition from,armies
Fascist era,ended,Italian occupation
State Apartments,contains,semi-state apartments
Marble Hall,leads to,semi-state apartments
1844 Room,decorated for,Tsar Nicholas I of Russia
1844 Room,used for,State visit
Tsar Nicholas I of Russia,visited,State Apartments
1855 Room,decorated for,Emperor Napoleon III of France
1855 Room,used for,visit
Emperor Napoleon III of France,visited,State Apartments
Bow Room,leads to,Queen's Garden Parties
Queen,uses,Bow Room
Prince Philip,uses,Bow Room
Alfred Adler,worked at,clinics
Alfred Adler,had,psychoanalyst
Josefine Anna Henninger,became,wife
Housing Commission of Victoria,demolished,neighbourhoods
Housing Commission of Victoria,built,high-rise towers
Bolte government,invested in,freeway
Bolte government,invested in,highway developments
Bolte government,sought to,modernise Melbourne
St Kilda Junction,remodeled,Bolte government
Hoddle Street,widened,Bolte government
Melbourne Transportation Plan,changed,face of the city
Public expenditure,was,8.9% of GDP
Private expenditure,was,1.3% of GDP
HIV/AIDS prevalence,was,2.8% among 15- to 49-year-olds
Health expenditure,was,US$30 per capita
Daycare facility,planned,Josefine Anna Henninger's husband
Josefine Anna Henninger's husband,assumed,ability to make furniture
Josefine Anna Henninger's husband,worked as,cabinetmaker
Josefine Anna Henninger's husband,completed,apprenticeship
