idx,Entity
1,1. 1 pm
2,2 pm
3,Andy
4,Apple
5,Apple Inc
6,Arwen
7,Asia
8,Baxter
9,Bob
10,China
11,Christmas
12,Commercial
13,Cynthia
14,Dan
15,Dell
16,First Lady
17,Flash
18,Frodo
19,Hakkai
20,Harry
21,Harry Potter
22,Harry Potter (character
23,Here are the entities extracted from the text
24,Here are the extracted entities from the text
25,Here are the extracted entities in the output format you requested
26,Hillary
27,Hillary Clinton
28,How
29,I
30,I can try to provide a more accurate list of entities
31,IMAX
32,J.K. Rowling
33,J.R.R. Tolkien
34,J.R.R. Tolkien's
35,JYJ
36,Jack
37,Jaejoong
38,Japan
39,Joanna
40,Joe Lieberman
41,Joey
42,John
43,John McCain
44,Junsu
45,Justin
46,K-pop
47,Kayla
48,Kirby saleswoman
49,Korean classes
50,Labor Day
51,Lauren
52,Lord of the Rings
53,Mark Salter
54,Masanjia
55,Matt
56,Miami Beach
57,Middle-earth
58,Miranda
59,Mrs. Jung
60,OP
61,Oliver
62,Olympics
63,One Ring
64,Patrick
65,President
66,Saiyuki
67,Sanzo
68,Saturday
69,Sauron
70,Secretary of State
71,Senate
72,Senator
73,Severus Snape
74,Simon
75,Snape
76,South Beach
77,State
78,Stormwatch
79,Sunday
80,TV
81,Target
82,The Lord of the Rings
83,The Lord of the Rings series
84,United States
85,Vanessa
86,Weight Watchers
87,abstract concept
88,academic
89,account
90,achievement
91,achievements
92,action
93,actions
94,activities
95,activity
96,actors
97,adaptation
98,adjustments
99,adolescence
100,adult male
101,adverb
102,aesthetic
103,after
104,after Christmas
105,air conditioner
106,alcoholic beverages
107,ambiance
108,amphibian
109,analysis
110,anecdote
111,anemia
112,angry
113,animal
114,anxiety
115,appear
116,apply
117,areas
118,arm
119,around
120,assertion
121,assistance
122,at
123,athletes
124,atmosphere
125,attack
126,attitude
127,attraction
128,attribute
129,audience
130,aunt
131,authentication
132,author
133,authority
134,awkward
135,bacteria
136,balls
137,bar
138,battery
139,be
140,beauty
141,been
142,before
143,behavior
144,behavioral trait
145,being
146,beliefs
147,benefits
148,beverages
149,biology
150,bird
151,blocking
152,blog
153,body
154,body part
155,book series
156,bored
157,boredom
158,boss
159,bottle
160,bowl
161,boy
162,break
163,break up
164,break-up
165,brewmaster
166,building
167,business
168,but rather a concept or an idea
169,but they are listed here as they appear in the text
170,buy a new car
171,bye-bye
172,café
173,call
174,campaign
175,career
176,cash
177,catch up on sleep
178,categorization
179,cause
180,celebration
181,chance
182,character
183,characteristic
184,characteristics
185,chemicals
186,child
187,children
188,choice
189,circumstances
190,civilians
191,class
192,classification
193,classmate
194,closures
195,clothing
196,clubs
197,coach
198,code
199,colleagues
200,column of air
201,comfort zone
202,commentary
203,comments
204,communication
205,communities
206,commute
207,companionship
208,compensation
209,competition
210,completed action
211,compliance
212,compliment
213,concept
214,condition
215,conflict
216,confused
217,connecting
218,consequence
219,consequences
220,construction
221,consumer behavior
222,contacts
223,contaminants
224,context
225,conversation
226,cosplay
227,counter
228,couple
229,courage
230,creative pursuits
231,credit card issuer
232,credit cards
233,cuisine
234,cultural icon
235,culture
236,cultures
237,current
238,customer
239,customers
240,cute t-shirt
241,damage
242,dark lord
243,day
244,day or two
245,days
246,death
247,decision
248,decision-making
249,demeanor
250,departure
251,description
252,desire
253,destruction
254,detailed
255,determination
