Entity1,Relation,Entity2
demonstrators,request,permit
demonstrators,action,permit
demonstrators,issue,permit
trophy,size,suitcase
suitcase,comparison,trophy
trophy,object,suitcase
Joan,gratitude,Susan
Joan,action,Susan
Susan,help,Joan
Paul,attempt,George
Paul,action,George
George,unavailability,Paul
Paul,failure,George
lawyer,question,witness
witness,reluctance,question
lawyer,action,question
witness,response,question
lawyer,responsibility,question
witness,responsibility,question
George,reluctance,question
Paul,outcome,George
Paul,causal relationship,George
George,unavailability,Paul
Susan,object,Joan
Susan,help,Joan
lawyer,action,question
witness,response,question
witness,reluctance,question
lawyer,responsibility,question
witness,responsibility,question
Frank,rival,Bill
Frank,winner,Bill
Frank,familiar with,Bill
Bill,rival of,Frank
Billy,obstructs,John
John,is obstructed by,Billy
Tom,threw to,Ray
Sue,beat,Sally
Sue,won,Sally
Sue,was better than,Sally
Anna,is a friend,Lucy
Jim,yelled at,Kevin
Jim,comforted,Kevin
Kevin,is being comforted by,Jim
Pete,envies,Martin
Susan,is nosy about,Ann
Ann,knows,Susan
Ann,is prone to sharing personal problems with,Susan
Susan,shares information about,Ann
Sid,explains his theory to,Mark
Sid,tries to convince,Mark
Mark,is being convinced by,Sid
painting,positioned on,wall
painting,to the right of,bookcase
oak tree,part of,painting
oak tree,depicted in,painting
oak tree,in,living room
wall,has,gap
wall,in front of,garden
wall,breached,gap
wall,behind,garden
drain,cleaned,hair
house,has,oak tree
garden,on the other side of,wall
living room,contains,bookcase
living room,contains,painting
subway,overpowers,announcement
rain,affects,concert
rain,is the main focus of the sentence,concert
knife,is cleaned by,rag
knife,is put in,drawer
rag,is used to clean,knife
Ann,asks,Mary
Ann,is the one initiating the conversation,Mary
Mary,has the information,Ann
library,is the place where information is sought,Ann
subway,interferes with,announcement
knife,is the object being used,rag
rag,is the object being stored,drawer
Ann,is the one asking,Mary
Ann,is the one who is confused,Mary
Ann,asks,Mary
Bob,Paid for,Charlie
Bob,Benefactor,Charlie
Charlie,Recipient,Bob
Adam,Was behind,Bob
Adam,Replaced by,Bob
Bob,Replaced,Adam
Bob,is-assisted-by,Carl
Carl,is-assisting,Bob
Mark,told-lies-about,Pete
Pete,wrote-about,Mark
Pete,should-have-been-more-skeptical,Mark
Mark,deceived,Pete
Mary,played,flute
Sam,sat,chair
Sam,used,piano
Sam,pulled,chair
Sam,stood,piano
Sam,had,piano
Sara,borrowed,book
Sara,read,book
Sara,wrote,article
Sara,read,article
Jane,knocked,Susan
Sam,took classes,Adam
lake,blocked,path
sun,covered,cloud
cloud,obstructed,sun
shepherds,transformed,golfers
shepherds,subjects,painting
shepherds,human,shepherds
shepherds,subjects,Sam
shepherds,subjects,painting
Mary,parent,Anne
Mary,relationship,daughter
Mary,action,daughter
Mary,CAREGIVER,Anne
Fred,FRIEND,Alice
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Arnold,INFLUENCED,Jackson
Arnold,INFLUENCED,Jackson
Arnold,INFLUENCE,Jackson
Arnold,PRECEDED,Jackson
Jackson,FOLLOWED,Arnold
Arnold,INFLUENCED,Jackson
Arnold,INFLUENCED,Jackson
Thomson,VISITED,Cooper
Arnold,INFLUENCED,Jackson
Arnold,INFLUENCED,Jackson
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Arnold,INFLUENCED,Jackson
Arnold,INFLUENCED,Jackson
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Arnold,INFLUENCED,Jackson
Arnold,INFLUENCED,Jackson
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
Thomson,VISITED,Cooper
police,arrested,gang members
police,trying to stop,drug trade
gang members,trying to run,drug trade
police,against,gang members
cake,stored in,refrigerator
cake,has a lot of butter in,refrigerator
crutches,used by,ankles
crutches,aid,ankles
crutches,will become unnecessary,ankles
sponsors,outnumbered by,opponents
sponsors,surprised to find,opponents
sponsors,in the minority,opponents
sponsors,expected to be the majority,town hall
pen,used,coffee
pen,gets full,coffee
coffee,affected,pen
pin,stuck,carrot
pin,left a hole,carrot
newsletter,placed,chairs
chairs,in,auditorium
auditorium,has,chairs
carrot,pierced,pin
carrot,has,pin
carrot,has,pin
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
newsletter,placed,chairs
chairs,in,auditorium
auditorium,has,chairs
pin,stuck,carrot
carrot,pierced,pin
carrot,has,pin
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
newsletter,placed,chairs
chairs,in,auditorium
auditorium,has,chairs
pin,stuck,carrot
carrot,pierced,pin
carrot,has,pin
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
newsletter,placed,chairs
chairs,in,auditorium
auditorium,has,chairs
pin,stuck,carrot
carrot,pierced,pin
carrot,has,pin
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
newsletter,placed,chairs
chairs,in,auditorium
auditorium,has,chairs
pin,stuck,carrot
carrot,pierced,pin
carrot,has,pin
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
newsletter,placed,chairs
chairs,in,auditorium
auditorium,has,chairs
pin,stuck,carrot
carrot,pierced,pin
carrot,has,pin
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
newsletter,placed,chairs
chairs,in,auditorium
auditorium,has,chairs
pin,stuck,carrot
carrot,pierced,pin
carrot,has,pin
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
newsletter,placed,chairs
chairs,in,auditorium
auditorium,has,chairs
pin,stuck,carrot
carrot,pierced,pin
carrot,has,pin
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
newsletter,placed,chairs
chairs,in,auditorium
auditorium,has,chairs
pin,stuck,carrot
carrot,pierced,pin
carrot,has,pin
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
newsletter,placed,chairs
chairs,in,auditorium
auditorium,has,chairs
pin,stuck,carrot
carrot,pierced,pin
carrot,has,pin
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
newsletter,placed,chairs
chairs,in,auditorium
auditorium,has,chairs
pin,stuck,carrot
carrot,pierced,pin
carrot,has,pin
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
newsletter,placed,chairs
chairs,in,auditorium
auditorium,has,chairs
pin,stuck,carrot
carrot,pierced,pin
carrot,has,pin
pen,used,coffee
coffee,mixed,pen
pen,gets full,coffee
pen,affected,coffee
Steve,admires,Fred
Fred,influences,Steve
Steve,follows,Fred
Fred,influences,Steve
