Entity1,Relation,Entity2
Tuvaluan Order 1975,created,British dependency
Mohammed Abdullah Hassan,led,Somali soldiers
Mohammed Abdullah Hassan,gathered,Somali soldiers
Dervish State,repulsed,British empire
Dervish State,received support from,Ottoman empire
Dervish State,received support from,German empires
Britain,used airplanes to bomb,Taleex
Britain,turned former Dervish territories into,protectorate
Italy,faced opposition from,Somali Sultans
Italy,faced opposition from,armies
State Apartments,contains,semi-state apartments
Marble Hall,leads to,semi-state apartments
1844 Room,decorated for,Tsar Nicholas I of Russia
Tsar Nicholas I of Russia,visited,State Apartments
1855 Room,decorated for,Emperor Napoleon III of France
Emperor Napoleon III of France,visited,State Apartments
Bow Room,leads to,Queen's Garden Parties
Queen,uses,Bow Room
Prince Philip,uses,Bow Room
Alfred Adler,worked at,clinics
Alfred Adler,had,psychoanalyst
Josefine Anna Henninger,became,wife
Bolte government,invested in,freeway
Bolte government,invested in,highway developments
St Kilda Junction,remodeled,Bolte government
Hoddle Street,widened,Bolte government
Melbourne,was modernised,Bolte government
Melbourne,was remodeled,Bolte government
St Kilda Junction,was remodeled,Bolte government
Hoddle Street,was widened,Bolte government
Melbourne Transportation Plan,was implemented,Bolte government
State Apartments,contains,semi-state apartments
Marble Hall,leads to,semi-state apartments
Tsar Nicholas I of Russia,visited,State Apartments
Emperor Napoleon III of France,visited,State Apartments
Bow Room,leads to,Queen's Garden Parties
Queen,uses,Bow Room
Prince Philip,uses,Bow Room
Alfred Adler,worked at,clinics
Alfred Adler,was a,psychoanalyst
Josefine Anna Henninger,became,wife
Bolte government,invested in,freeway
Bolte government,invested in,highway developments
St Kilda Junction,was remodeled,Bolte government
Hoddle Street,was widened,Bolte government
Melbourne,was modernised,Bolte government
Melbourne,was remodeled,Bolte government
St Kilda Junction,was remodeled,Bolte government
Hoddle Street,was widened,Bolte government
Melbourne Transportation Plan,was implemented,Bolte government
State Apartments,contains,semi-state apartments
Marble Hall,leads to,semi-state apartments
Tsar Nicholas I of Russia,visited,State Apartments
Emperor Napoleon III of France,visited,State Apartments
Bow Room,leads to,Queen's Garden Parties
Queen,uses,Bow Room
Prince Philip,uses,Bow Room
Alfred Adler,worked at,clinics
Alfred Adler,was a,psychoanalyst
Josefine Anna Henninger,became,wife
Bolte government,invested in,freeway
Bolte government,invested in,highway developments
St Kilda Junction,was remodeled,Bolte government
Hoddle Street,was widened,Bolte government
Melbourne,was modernised,Bolte government
Melbourne,was remodeled,Bolte government
St Kilda Junction,was remodeled,Bolte government
Hoddle Street,was widened,Bolte government
Melbourne Transportation Plan,was implemented,Bolte government
State Apartments,contains,semi-state apartments
Marble Hall,leads to,semi-state apartments
Tsar Nicholas I of Russia,visited,State Apartments
Emperor Napoleon III of France,visited,State Apartments
Bow Room,leads to,Queen's Garden Parties
Queen,uses,Bow Room
